Gene Name,Gene Symbol,Chromosome,Entrez GeneId,NCBI Accession Number,MGI Marker AccessionId,SwissProt Accession Number,GENSAT Number
"RAB26, member RAS oncogene family","Rab26","17","328778","XM_283428","MGI:2443284","Q504M8",""
"RAB27A, member RAS oncogene family","Rab27a","9","11891","NM_023635","MGI:1861441","Q9ERI2","G02466"
"RAB27b, member RAS oncogene family","Rab27b","18","80718","NM_030554","MGI:1931295","Q99P58",""
"RAB28, member RAS oncogene family","Rab28","5","100972","XM_132086","MGI:1917285","Q99KL7",""
"RAB2B, member RAS oncogene family","Rab2b","14","76338","NM_172601","MGI:1923588","P59279",""
"RAB30, member RAS oncogene family","Rab30","7","75985","NM_029494","MGI:1923235","Q923S9",""
"RAB31, member RAS oncogene family","Rab31","17","106572","NM_133685","MGI:1914603","Q921E2",""
"RAB32, member RAS oncogene family","Rab32","10","67844","NM_026405","MGI:1915094","Q9CZE3",""
"RAB33A, member of RAS oncogene family","Rab33a","X","19337","NM_011228","MGI:109493","P97950",""
"RAB33B, member of RAS oncogene family","Rab33b","3","19338","NM_016858","MGI:1330805","O35963",""
"RAB34, member of RAS oncogene family","Rab34","11","19376","mCT11959.2","MGI:104606","Q64008",""
"RAB35, member RAS oncogene family","Rab35","5","77407","NM_198163","MGI:1924657","Q6PHN9",""
"RAB36, member RAS oncogene family","Rab36","10","76877","XM_125709","MGI:1924127","",""
"RAB37, member of RAS oncogene family","Rab37","11","58222","NM_021411","MGI:1929945","Q9JKM7",""
"Rab38, member of RAS oncogene family","Rab38","7","72433","NM_028238","MGI:1919683","Q8QZZ8",""
"RAB39, member RAS oncogene family","Rab39","9","270160","NM_175562","MGI:2442855","Q8BHD0",""
"RAB39B, member RAS oncogene family","Rab39b","X","67790","NM_175122","MGI:1915040","Q8BHC1",""
"RAB3A, member RAS oncogene family","Rab3a","8","19339","NM_009001","MGI:97843","P63011",""
"RAB3B, member RAS oncogene family","Rab3b","4","69908","NM_023537","MGI:1917158","Q9CZT8",""
"RAB3C, member RAS oncogene family","Rab3c","13","67295","NM_023852","MGI:1914545","P62823",""
"RAB3D, member RAS oncogene family","Rab3d","9","19340","NM_031874","MGI:97844","P35276",""
"RAB3 GTPase activating protein subunit 1","Rab3gap1","1","226407","NM_178690","MGI:2445001","Q80UJ7",""
"RAB3 GTPase activating protein subunit 2","Rab3gap2","1","98732","NM_172649","MGI:1916043","Q8BMG7",""
"RAB3A interacting protein (rabin3)-like 1","Rab3il1","19","74760","NM_144538","MGI:1922010","","G03171"
"RAB3A interacting protein","Rab3ip","10","216363","NM_001003950","MGI:105933","Q68EF0",""
"Rab40b, member RAS oncogene family","Rab40b","11","217371","NM_139147","MGI:2183451","Q8VHP8",""
"Rab40c, member RAS oncogene family","Rab40c","17","224624","NM_139154","MGI:2183454","Q8VHQ4",""
"RAB4A, member RAS oncogene family","Rab4a","8","19341","NM_009003","MGI:105069","P56371",""
"RAB4B, member RAS oncogene family","Rab4b","7","19342","NM_029391","MGI:105071","Q91ZR1",""
"RAB5A, member RAS oncogene family","Rab5a","17","271457","NM_025887","MGI:105926","Q9CQD1",""
"RAB5C, member RAS oncogene family","Rab5c","11","19345","NM_024456","MGI:105306","P35278","G03834"
"RAB6, member RAS oncogene family","Rab6","7","19346","NM_024287","MGI:894313","P35279",""
"RAB6B, member RAS oncogene family","Rab6b","9","270192","NM_173781","MGI:107283","P61294",""
"Rab6 interacting protein 1","Rab6ip1","7","19347","NM_021494","MGI:1201681","Q6PAL8",""
"RAB7, member RAS oncogene family","Rab7","6","19349","NM_009005","MGI:105068","P51150","G02752"
"RAB7, member RAS oncogene family-like 1","Rab7l1","1","226422","NM_144875","MGI:2385107","Q91YQ1",""
"RAB8A, member RAS oncogene family","Rab8a","8","17274","NM_023126","MGI:96960","P55258",""
"RAB8B, member RAS oncogene family","Rab8b","9","235442","NM_173413","MGI:2442982","P61028",""
"RAB9, member RAS oncogene family","Rab9","X","56382","NM_019773","MGI:1890695","Q9R0M6",""
"RAB9B, member RAS oncogene family","Rab9b","X","319642","NM_176971","MGI:2442454","Q8BHH2",""
"Rab acceptor 1 (prenylated)","Rabac1","7","14470","NM_010261","MGI:1201692","Q9Z0S9",""
"rabaptin, RAB GTPase binding effector protein 1","Rabep1","11","54189","NM_019400","MGI:1860236","O35551",""
"rabaptin, RAB GTPase binding effector protein 1","Rabep1","11","54189","TC1496938","MGI:1860236","O35551",""
"rabaptin, RAB GTPase binding effector protein 2","Rabep2","7","70314","NM_030566","MGI:1917564","Q91WG2",""
"Rab9 effector protein with kelch motifs","Rabepk","2","227746","NM_145522","MGI:2139530","",""
"RAB GTPase activating protein 1","Rabgap1","2","227800","mCT127588.2","MGI:2385139","",""
"RAB GTPase activating protein 1","Rabgap1","2","227800","NM_146121","MGI:2385139","",""
"RAB GTPase activating protein 1-like","Rabgap1l","1","29809","NM_013862","MGI:1352507","",""
"RAB guanine nucleotide exchange factor (GEF) 1","Rabgef1","5","56715","NM_019983","MGI:1929459","Q9JM13",""
"Rab geranylgeranyl transferase, a subunit","Rabggta","14","56187","NM_019519","MGI:1860443","Q9JHK4",""
"RAB geranylgeranyl transferase, b subunit","Rabggtb","3","19352","NM_011231","MGI:99537","P53612","G02753"
"RAB interacting factor","Rabif","1","98710","NM_145510","MGI:2138605","Q91X96",""
"RAB, member of RAS oncogene family-like 2A","Rabl2a","15","68708","NM_026817","MGI:1915958","",""
"RAB, member of RAS oncogene family-like 3","Rabl3","16","67657","NM_026297","MGI:1914907","",""
"RAB, member of RAS oncogene family-like 4","Rabl4","15","67042","NM_025931","MGI:1914292","Q9D0P8",""
"RAB, member of RAS oncogene family-like 5","Rabl5","5","67286","NM_026073","MGI:1914536","",""
"RAS-related C3 botulinum substrate 1","Rac1","5","19353","NM_009007","MGI:97845","P63001","G01160"
"RAS-related C3 botulinum substrate 2","Rac2","15","19354","NM_009008","MGI:97846","Q05144",""
"RAS-related C3 botulinum substrate 3","Rac3","11","170758","NM_133223","MGI:2180784","P60764",""
"Rac GTPase-activating protein 1","Racgap1","15","26934","NM_012025","MGI:1349423","Q9WVM1",""
"RAD1 homolog (S. pombe)","Rad1","15","19355","NM_011232","MGI:1316678","Q9QWZ1",""
"RAD17 homolog (S. pombe)","Rad17","13","19356","NM_011233","MGI:1333807","Q6NXW6",""
"RAD18 homolog (S. cerevisiae)","Rad18","6","58186","NM_021385","MGI:1890476","Q9QXK2",""
"RAD21 homolog (S. pombe)","Rad21","15","19357","NM_009009","MGI:108016","Q61550",""
"RAD23a homolog (S. cerevisiae)","Rad23a","8","19358","NM_009010","MGI:105126","P54726",""
"RAD23b homolog (S. cerevisiae)","Rad23b","4","19359","NM_009011","MGI:105128","P54728","G02846"
"RAD50 homolog (S. cerevisiae)","Rad50","11","19360","NM_009012","MGI:109292","P70388",""
"RAD51 homolog (S. cerevisiae)","Rad51","2","19361","NM_011234","MGI:97890","Q08297",""
"RAD51 associated protein 1","Rad51ap1","6","19362","NM_009013","MGI:1098224","Q8C551",""
"Rad51 homolog c (S. cerevisiae)","Rad51c","11","114714","NM_053269","MGI:2150020","",""
"RAD51-like 1 (S. cerevisiae)","Rad51l1","12","19363","NM_009014","MGI:1099436","O35719",""
"RAD51-like 3 (S. cerevisiae)","Rad51l3","11","19364","NM_011235","MGI:1261809","O55230",""
"RAD52 homolog (S. cerevisiae)","Rad52","6","19365","NM_011236","MGI:101949","P43352",""
"RAD54 like (S. cerevisiae)","Rad54l","4","19366","NM_009015","MGI:894697","P70270",""
"Rad54 like 2 (S. cerevisiae)","Rad54l2","9","81000","NM_030730","MGI:1933196","",""
"RAD9 homolog (S. pombe)","Rad9","19","19367","NM_011237","MGI:1328356","Q9Z0F6",""
"RAD9 homolog B (S. cerevisiae)","Rad9b","5","231724","NM_144912","MGI:2385231","Q6WBX7",""
"RAE1 RNA export 1 homolog (S. pombe)","Rae1","2","66679","NM_175112","MGI:1913929","Q8C570","G03083"
"v-raf-leukemia viral oncogene 1","Raf1","6","110157","NM_029780","MGI:97847","Q99N57",""
"recombination activating gene 1","Rag1","2","19373","NM_009019","MGI:97848","P15919",""
"recombination activating gene 1 activating protein 1","Rag1ap1","3","19729","NM_009057","MGI:107417","",""
"recombination activating gene 2","Rag2","2","19374","NM_009020","MGI:97849","P21784",""
"renal tumor antigen","Rage","12","26448","NM_011973","MGI:1347040","Q9WVS4",""
"retinoic acid induced 1","Rai1","11","19377","NM_009021","MGI:103291","Q61818","G00561"
"retinoic acid induced 12","Rai12","11","54351","NM_018740","MGI:1859017","",""
"retinoic acid induced 14","Rai14","15","75646","NM_030690","MGI:1922896","Q9EP71",""
"retinoic acid induced 16","Rai16","14","239170","XM_139129","MGI:3036290","",""
"retinoic acid induced 17","Rai17","14","328365","NM_183208","MGI:3040693","Q6P1E1",""
"retinoic acid induced 2","Rai2","X","24004","NM_198409","MGI:1344378","Q9QVY8",""
"v-ral simian leukemia viral oncogene homolog A (ras related)","Rala","13","56044","NM_019491","MGI:1927243","P63321",""
"v-ral simian leukemia viral oncogene homolog B (ras related)","Ralb","1","64143","NM_022327","MGI:1927244","Q9JIW9",""
"ralA binding protein 1","Ralbp1","17","19765","NM_009067","MGI:108466","Q62172",""
"ral guanine nucleotide dissociation stimulator","Ralgds","2","19730","NM_009058","MGI:107485","Q03385","G01776"
"Ral GEF with PH domain and SH3 binding motif 1","Ralgps1","2","241308","NM_175211","MGI:1922008","",""
"Ral GEF with PH domain and SH3 binding motif 2","Ralgps2","1","78255","NM_023884","MGI:1925505","",""
"Ral GEF with PH domain and SH3 binding motif 2","Ralgps2","1","78255","TC1534549","MGI:1925505","",""
"hnRNP-associated with lethal yellow","Raly","2","19383","NM_023130","MGI:97850","Q64012",""
"receptor (calcitonin) activity modifying protein 1","Ramp1","1","51801","NM_016894","MGI:1858418","Q9WTJ5",""
"receptor (calcitonin) activity modifying protein 2","Ramp2","11","54409","NM_019444","MGI:1859650","Q9WUP0",""
"receptor (calcitonin) activity modifying protein 3","Ramp3","11","56089","NM_019511","MGI:1860292","Q9WUP1",""
"RAN, member RAS oncogene family","Ran","5","19384","NM_009391","MGI:1333112","P62827",""
"RAN binding protein 1","Ranbp1","16","19385","NM_011239","MGI:96269","P34022","G03757"
"RAN binding protein 10","Ranbp10","8","74334","NM_145824","MGI:1921584","",""
"RAN binding protein 17","Ranbp17","11","66011","NM_023146","MGI:1929706","Q99NF8",""
"RAN binding protein 2","Ranbp2","10","19386","NM_011240","MGI:894323","Q9ERU9",""
"RAN binding protein 3","Ranbp3","17","71810","XM_128698","MGI:1919060","Q9CT10",""
"RAN binding protein 3-like","Ranbp3l","15","223332","NM_198024","MGI:2444654","",""
"RAN binding protein 5","Ranbp5","14","70572","NM_023579","MGI:1917822","Q8BKC5",""
"RAN binding protein 6","Ranbp6","19","240614","NM_177721","MGI:2683212","Q8BIV3",""
"RAN binding protein 9","Ranbp9","13","56705","NM_019930","MGI:1928741","P69566","G02754"
"RAN GTPase activating protein 1","Rangap1","15","19387","NM_011241","MGI:103071","P46061","G02755"
"RAS-related protein-1a","Rap1a","3","109905","NM_145541","MGI:97852","P62835","G03229"
"RAS related protein 1b","Rap1b","10","215449","NM_024457","MGI:894315","Q99JI6",""
"Rap1 GTPase-activating protein","Rap1gap","4","110351","XM_149500","MGI:109338","",""
"RAP1, GTP-GDP dissociation stimulator 1","Rap1gds1","3","229877","NM_145544","MGI:2385189","","G02468"
"RAS related protein 2a","Rap2a","14","76108","NM_029519","MGI:97855","Q80ZJ1","G02644"
"RAP2B, member of RAS oncogene family","Rap2b","3","74012","NM_028712","MGI:1921262","P61226",""
"RAP2C, member of RAS oncogene family","Rap2c","X","72065","NM_172413","MGI:1919315","Q8BU31",""
"Rap2 interacting protein","Rap2ip","11","51799","NM_016759","MGI:1858752","",""
"Rap guanine nucleotide exchange factor (GEF) 1","Rapgef1","2","107746","NM_054050","MGI:104580","","G02185"
"Rap guanine nucleotide exchange factor (GEF) 2","Rapgef2","3","76089","XM_203999","MGI:2659071","Q8CHG7",""
"Rap guanine nucleotide exchange factor (GEF) 3","Rapgef3","15","223864","NM_144850","MGI:2441741","Q8VCC8","G02187"
"Rap guanine nucleotide exchange factor (GEF) 4","Rapgef4","2","56508","NM_019688","MGI:1917723","Q9EQZ6","G02188"
"Rap guanine nucleotide exchange factor (GEF) 5","Rapgef5","12","217944","NM_175930","MGI:2444365","Q8C0Q9",""
"Rap guanine nucleotide exchange factor (GEF) 6","Rapgef6","11","192786","XM_484024","MGI:2384761","",""
"Rap guanine nucleotide exchange factor (GEF)-like 1","Rapgefl1","11","268480","XM_484075","MGI:3611446","",""
"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1","Raph1","1","77300","XM_355205","MGI:1924550","",""
"receptor-associated protein of the synapse","Rapsn","2","19400","NM_009023","MGI:99422","P12672","G00355"
"retinoic acid receptor, alpha","Rara","11","19401","NM_009024","MGI:97856","P11416",""
"retinoic acid receptor, beta","Rarb","14","218772","NM_011243","MGI:97857","P22605",""
"retinoic acid receptor, gamma","Rarg","15","19411","NM_011244","MGI:97858","P18911",""
"retinoic acid receptor responder (tazarotene induced) 1","Rarres1","3","109222","XM_130987","MGI:1924461","",""
"retinoic acid receptor responder (tazarotene induced) 2","Rarres2","6","71660","NM_027852","MGI:1918910","Q9DD06",""
"arginyl-tRNA synthetase","Rars","11","104458","NM_025936","MGI:1914297","Q9D0I9",""
"arginyl-tRNA synthetase-like","Rarsl","4","109093","NM_181406","MGI:1923596","",""
"RAS p21 protein activator 1","Rasa1","13","218397","NM_145452","MGI:97860","",""
"RAS p21 protein activator 2","Rasa2","9","114713","NM_053268","MGI:2149960","P58069","G02469"
"RAS p21 protein activator 2","Rasa2","9","114713","TC1412826","MGI:2149960","P58069","G02469"
"RAS p21 protein activator 3","Rasa3","8","19414","NM_009025","MGI:1197013","Q60790","G02470"
"RAS p21 protein activator 4","Rasa4","5","54153","XM_355650","MGI:1858600","",""
"RAS protein activator like 1 (GAP1 like)","Rasal1","5","19415","NM_013832","MGI:1330842","Q9Z268","G01778"
"RAS protein activator like 2","Rasal2","1","226525","XM_355247","MGI:2443881","",""
"RAS, dexamethasone-induced 1","Rasd1","11","19416","NM_009026","MGI:1270848","O35626",""
"RASD family, member 2","Rasd2","8","75141","XM_204287","MGI:1922391","P63032",""
"RAS and EF hand domain containing","Rasef","4","242505","Mm.27299","MGI:2448565","",""
"RasGEF domain family, member 1A","Rasgef1a","6","70727","XM_132762","MGI:1917977","",""
"RasGEF domain family, member 1B","Rasgef1b","5","320292","NM_145839","MGI:2443755","",""
"RasGEF domain family, member 1C","Rasgef1c","11","74563","XM_126185","MGI:1921813","",""
"RAS protein-specific guanine nucleotide-releasing factor 1","Rasgrf1","9","19417","NM_011245","MGI:99694","P27671","G01121"
"RAS protein-specific guanine nucleotide-releasing factor 2","Rasgrf2","13","19418","NM_009027","MGI:109137","",""
"RAS guanyl releasing protein 1","Rasgrp1","2","19419","NM_011246","MGI:1314635","","G02189"
"RAS, guanyl releasing protein 2","Rasgrp2","19","19395","NM_011242","MGI:1333849","","G01779"
"RAS, guanyl releasing protein 3","Rasgrp3","17","240168","NM_207246","MGI:3028579","","G02190"
"RAS guanyl releasing protein 4","Rasgrp4","7","233046","NM_145149","MGI:2386851","",""
"Ras interacting protein 1","Rasip1","7","69903","XM_485931","MGI:1917153","Q3U0S6",""
"RAS-like, family 10, member B","Rasl10b","11","276952","XM_205779","MGI:2685575","",""
"RAS-like, family 11, member A","Rasl11a","5","68895","XM_485698","MGI:1916145","",""
"RAS-like, family 11, member B","Rasl11b","5","68939","XM_355606","MGI:1916189","",""
"RAS-like, family 12","Rasl12","9","70784","mCT18085.1","MGI:1918034","",""
"RAS-like, family 12","Rasl12","9","70784","XM_134870","MGI:1918034","",""
"Ras association (RalGDS/AF-6) domain family 1","Rassf1","9","56289","NM_019713","","",""
"Ras association (RalGDS/AF-6) domain family 2","Rassf2","2","215653","NM_175445","MGI:2442060","Q8BMS9",""
"Ras association (RalGDS/AF-6) domain family 3","Rassf3","10","192678","NM_138956","MGI:2179722","Q99P51",""
"Ras association (RalGDS/AF-6) domain family 4","Rassf4","6","213391","NM_178045","MGI:2386853","Q8CB96",""
"Ras association (RalGDS/AF-6) domain family 5","Rassf5","1","54354","NM_018750","MGI:1926375","Q5EBH1","G02531"
"Ras association (RalGDS/AF-6) domain family 6","Rassf6","5","73246","XM_132163","MGI:1920496","Q80UQ2",""
"Ras association (RalGDS/AF-6) domain family 7","Rassf7","7","66985","NM_025886","MGI:1914235","Q9DD19",""
"Ras association (RalGDS/AF-6) domain family 8","Rassf8","6","71323","NM_027760","MGI:1918573","Q8CJ96",""
"ribonucleoprotein, PTB-binding 1","Raver1","9","71766","NM_027911","MGI:1919016","Q9CW46",""
"ribonucleoprotein, PTB-binding 2","Raver2","4","242570","NM_183024","MGI:2443623","Q7TPD6",""
"retina and anterior neural fold homeobox","Rax","18","19434","NM_013833","MGI:109632","O35602",""
"retinoblastoma 1","Rb1","14","19645","NM_009029","MGI:97874","P13405","G01426"
"RB1-inducible coiled-coil 1","Rb1cc1","1","12421","NM_009826","MGI:1341850","Q9ESK9",""
"RB-associated KRAB repressor","Rbak","5","57782","NM_021326","MGI:1927369","",""
"retinoblastoma binding protein 4","Rbbp4","4","19646","NM_009030","MGI:1194912","Q60972",""
"retinoblastoma binding protein 5","Rbbp5","1","213464","NM_172517","MGI:1918367","",""
"retinoblastoma binding protein 6","Rbbp6","7","19647","NM_011247","MGI:894835","P97868",""
"retinoblastoma binding protein 7","Rbbp7","X","245688","NM_009031","MGI:1194910","Q60973",""
"retinoblastoma binding protein 8","Rbbp8","18","225182","XM_484703","MGI:2442995","",""
"retinoblastoma binding protein 9","Rbbp9","2","26450","NM_015754","MGI:1347074","O88851",""
"RanBP-type and C3HC4-type zinc finger containing 1","Rbck1","2","24105","NM_019705","MGI:1344372","Q9WUB0","G01957"
"RNA binding motif and ELMO domain 1","Rbed1","6","232089","NM_144917","MGI:2445168","",""
"ribokinase","Rbks","5","71336","NM_153196","MGI:1918586","",""
"retinoblastoma-like 1 (p107)","Rbl1","2","19650","NM_011249","MGI:103300","Q64701","G02533"
"retinoblastoma-like 2","Rbl2","8","19651","NM_011250","MGI:105085","Q64700",""
"RNA binding motif protein 10","Rbm10","X","236732","NM_145627","MGI:2384310","",""
"RNA binding motif protein 11","Rbm11","16","224344","NM_198302","MGI:2447622","",""
"RNA binding motif protein 12","Rbm12","2","75710","mCT182089.0","MGI:1922960","Q8R4X3",""
"RNA binding motif protein 12","Rbm12","2","75710","NM_029397","MGI:1922960","Q8R4X3",""
"RNA binding motif protein 12B","Rbm12b","4","72397","NM_028226","MGI:1919647","",""
"RNA binding motif protein 13","Rbm13","8","67920","NM_026453","MGI:1915170","Q8BGS0",""
"RNA binding motif protein 14","Rbm14","19","56275","NM_019869","MGI:1929092","Q8C2Q3",""
"RNA binding motif protein 15","Rbm15","3","229700","XM_131139","MGI:2443205","","G02621"
"RNA binding motif protein 15B","Rbm15b","9","109095","NM_175402","MGI:1923598","Q6PHZ5",""
"RNA binding motif protein 17","Rbm17","2","76938","NM_152824","MGI:1924188","Q8JZX4",""
"RNA binding motif protein 18","Rbm18","2","67889","NM_026434","MGI:1915139","",""
"RNA binding motif protein 19","Rbm19","5","74111","NM_028762","MGI:1921361","Q8R3C6",""
"RNA binding motif protein 21","Rbm21","19","70044","NM_197993","MGI:1917294","",""
"RNA binding motif protein 22","Rbm22","18","66810","XM_619541","MGI:1914060","",""
"RNA binding motif protein 26","Rbm26","14","74213","NM_134077","MGI:1921463","",""
"RNA binding motif protein 27","Rbm27","18","225432","XM_128924","MGI:2147194","",""
"RNA binding motif protein 28","Rbm28","6","68272","NM_026650","MGI:2655711","Q8CGC6",""
"RNA binding motif protein 3","Rbm3","X","19652","NM_016809","MGI:1099460","O89086","G02756"
"RNA binding motif 31, Y-linked","Rbm31y","X","74484","XM_486938","MGI:1921734","",""
"RNA binding motif protein 34","Rbm34","8","52202","NM_172762","MGI:1098653","Q8C5L7",""
"RNA binding motif protein 35A","Rbm35a","4","207920","NM_194055","MGI:1917326","",""
"RNA binding motif protein 35b","Rbm35b","8","77411","NM_176838","MGI:1924661","",""
"RNA binding motif protein 38","Rbm38","2","56190","NM_019547","MGI:1889294","Q62176",""
"RNA binding motif protein 39","Rbm39","2","170791","NM_133242","MGI:2157953","Q8VH51","G00671"
"RNA binding motif protein 4","Rbm4","19","19653","NM_009032","MGI:1100865","Q8C7Q4",""
"RNA binding motif protein 41","Rbm41","X","237073","NM_153586","MGI:2444923","",""
"RNA binding motif protein 4B","Rbm4b","19","66704","NM_025717","MGI:1913954","Q8VE92",""
"RNA binding motif protein 5","Rbm5","9","83486","NM_148930","MGI:1933204","",""
"RNA binding motif protein 6","Rbm6","9","19654","NM_011251","MGI:1338037","",""
"RNA binding motif protein 7","Rbm7","9","67010","NM_144948","MGI:1914260","Q9CQT2",""
"RNA binding motif protein 8a","Rbm8a","3","60365","NM_025875","MGI:1913129","Q9CWZ3",""
"RNA binding motif protein 9","Rbm9","15","93686","NM_053104","MGI:1933973","",""
"RNA binding motif, single stranded interacting protein 1","Rbms1","2","56878","NM_020296","MGI:1861774","Q91W59","G01115"
"RNA binding motif, single stranded interacting protein 2","Rbms2","10","56516","NM_019711","MGI:1861776","Q8VC70",""
"RNA binding motif, single stranded interacting protein","Rbms3","9","207181","NM_178660","MGI:2444477","",""
"RNA binding motif protein, X chromosome","Rbmx","X","19655","NM_011252","MGI:1343044","",""
"RNA binding motif protein, X-linked 2","Rbmx2","X","209003","NM_173376","MGI:1919414","Q8R0F5",""
"RNA binding motif protein, X chromosome retrogene","Rbmxrt","14","19656","NM_009033","MGI:1343045","O35479",""
"RNA binding motif protein, Y chromosome, family 1, member A1","Rbmy1a1","Y","19657","NM_011253","MGI:104732","",""
"retinol binding protein 1, cellular","Rbp1","9","19659","NM_011254","MGI:97876","Q00915","G01065"
"retinol binding protein 2, cellular","Rbp2","9","19660","NM_009034","MGI:97877","Q08652",""
"retinol binding protein 3, interstitial","Rbp3","14","19661","NM_015745","MGI:97878","P49194",""
"retinol binding protein 4, plasma","Rbp4","19","19662","NM_011255","MGI:97879","Q00724","G00455"
"retinol binding protein 7, cellular","Rbp7","4","63954","NM_022020","MGI:1890409","Q9EPC5",""
"RNA binding protein gene with multiple splicing","Rbpms","8","19663","NM_019733","MGI:1334446","Q9WVB0",""
"RNA binding protein with multiple splicing 2","Rbpms2","9","71973","NM_028030","MGI:1919223","",""
"recombining binding protein suppressor of hairless (Drosophila)","Rbpsuh","5","19664","NM_009035","MGI:96522","P31266",""
"recombining binding protein suppressor of hairless-like (Drosophila)","Rbpsuhl","2","19668","NM_009036","MGI:1196616","O08674",""
"ring-box 1","Rbx1","15","56438","NM_019712","MGI:1891829","P62878",""
"RING CCCH (C3H) domains 1","Rc3h1","1","381305","mCT127191.0","MGI:2685397","Q4VGL6",""
"RING CCCH (C3H) domains 1","Rc3h1","1","381305","Mm.310566","MGI:2685397","Q4VGL6",""
"RING CCCH (C3H) domains 1","Rc3h1","1","381305","XM_355250","MGI:2685397","Q4VGL6",""
"regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1","Rcbtb1","14","71330","XM_127781","MGI:1918580","Q6NXM2",""
"regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2","Rcbtb2","14","105670","NM_134083","MGI:1917200","Q99LJ7",""
"regulator of chromosome condensation 1","Rcc1","4","100088","NM_133878","MGI:1913989","Q8VE37",""
"regulator of chromosome condensation 2","Rcc2","4","108911","NM_173867","MGI:1919784","Q8BK67",""
"RCC1 domain containing 1","Rccd1","7","269955","NM_173445","MGI:2444156","",""
"RCE1 homolog, prenyl protein peptidase (S. cerevisiae)","Rce1","19","19671","NM_023131","MGI:1336895","P57791",""
"ring finger and CHY zinc finger domain containing 1","Rchy1","5","68098","NM_026557","MGI:1915348","Q9CR50",""
"RNA terminal phosphate cyclase-like 1","Rcl1","19","59028","NM_021525","MGI:1913275","Q9JJT0",""
"reticulocalbin 1","Rcn1","2","19672","NM_009037","MGI:104559","Q05186",""
"reticulocalbin 2","Rcn2","9","26611","NM_011992","MGI:1349765","Q8BP92",""
"reticulocalbin 3, EF-hand calcium binding domain","Rcn3","7","52377","NM_026555","MGI:1277122","Q8BH97","G01319"
"REST corepressor 1","Rcor1","12","217864","NM_198023","MGI:106340","Q8CFE3",""
"REST corepressor 2","Rcor2","19","104383","NM_054048","MGI:1859854","Q8C796","G00600"
"REST corepressor 3","Rcor3","1","214742","NM_144814","MGI:2441920","Q6PGA0",""
"RCSD domain containing 1","Rcsd1","1","226594","NM_178593","MGI:2676394","",""
"recoverin","Rcvrn","11","19674","NM_009038","MGI:97883","P34057",""
"RD RNA-binding protein","Rdbp","17","27632","NM_138580","MGI:102744","P19426",""
"retinol dehydrogenase 1 (all trans)","Rdh1","10","107605","NM_080436","MGI:1195275","",""
"retinol dehydrogenase 10 (all-trans)","Rdh10","1","98711","NM_133832","MGI:1924238","",""
"retinol dehydrogenase 11","Rdh11","12","17252","NM_021557","MGI:102581","Q9QYF1",""
"retinol dehydrogenase 12","Rdh12","12","77974","XM_126957","MGI:1925224","Q8BYK4",""
"retinol dehydrogenase 14 (all-trans and 9-cis)","Rdh14","12","105014","NM_023697","MGI:1920402","Q9ERI6",""
"retinol dehydrogenase 16","Rdh16","10","19683","NM_009040","MGI:1201375","",""
"retinol dehydrogenase 5","Rdh5","10","19682","NM_134006","MGI:1201412","",""
"retinol dehydrogenase 7","Rdh7","10","54150","NM_017473","MGI:1860517","O88451",""
"retinol dehydrogenase 9","Rdh9","10","103142","NM_153133","MGI:2143528","",""
"retinal short chain dehydrogenase reductase 2","Rdhe2","4","242285","NM_181989","MGI:2668443","",""
"RAD52 motif 1","Rdm1","11","66599","NM_025654","MGI:1913849","",""
"retinal degeneration, slow (retinitis pigmentosa 7)","Rds","17","19133","NM_008938","MGI:102791","P15499","G00445"
"radixin","Rdx","9","19684","NM_009041","MGI:97887","P26043",""
"REC8-like 1 (yeast)","Rec8L1","14","56739","NM_020002","MGI:1929645","Q8C5S7",""
"replication factor C 1","Recc1","5","19687","NM_011258","MGI:97891","P35601",""
"reversion-inducing-cysteine-rich protein with kazal motifs","Reck","4","53614","NM_016678","MGI:1855698","Q9Z0J1",""
"RecQ protein-like","Recql","6","19691","NM_023042","MGI:103021","Q9Z129",""
"RecQ protein-like 4","Recql4","15","79456","NM_058214","MGI:1931028","Q75NR7",""
"RecQ protein-like 5","Recql5","11","170472","NM_130454","MGI:2156841","",""
"receptor accessory protein 1","Reep1","6","52250","NM_178608","MGI:1098827","Q8BGH4",""
"receptor accessory protein 2","Reep2","18","225362","NM_144865","MGI:2385070","Q8VCD6",""
"receptor accessory protein 3","Reep3","10","28193","NM_178606","MGI:88930","",""
"receptor accessory protein 4","Reep4","14","72549","NM_180588","MGI:1919799","Q8K072",""
"receptor accessory protein 5","Reep5","18","13476","NM_007874","MGI:1270152","Q60870",""
"receptor accessory protein 6","Reep6","10","70335","NM_139292","MGI:1917585","Q9JM62",""
"regenerating islet-derived 1","Reg1","6","19692","NM_009042","MGI:97895","P43137",""
"regenerating islet-derived 2","Reg2","6","19693","NM_009043","MGI:97896","Q08731",""
"regenerating islet-derived 3 alpha","Reg3a","6","19694","NM_011259","MGI:109408","O09037",""
"regenerating islet-derived 3 gamma","Reg3g","6","19695","NM_011260","MGI:109406","O09049","G01330"
"regenerating islet-derived family, member 4","Reg4","3","67709","NM_026328","MGI:1914959","Q9D8G5",""
"reticuloendotheliosis oncogene","Rel","11","19696","NM_009044","MGI:97897","P15307",""
